metabolite,substance_kr,year,age_group_en,age_group_kr,statistic,value,source,source_url,unit
MEOHP,모노(2-에틸-5-옥소헥실)프탈레이트 (MEOHP),2011,adult,성인,p95,57.8,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MEOHP,모노(2-에틸-5-옥소헥실)프탈레이트 (MEOHP),2014,adult,성인,geometric_mean,12.1,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MEOHP,모노(2-에틸-5-옥소헥실)프탈레이트 (MEOHP),2014,adult,성인,p95,47.9,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MEOHP,모노(2-에틸-5-옥소헥실)프탈레이트 (MEOHP),2017,adult,성인,geometric_mean,9.88,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MEOHP,모노(2-에틸-5-옥소헥실)프탈레이트 (MEOHP),2017,adult,성인,p95,50.9,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MEOHP,모노(2-에틸-5-옥소헥실)프탈레이트 (MEOHP),2017,elementary,초등학생,geometric_mean,19.2,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MEOHP,모노(2-에틸-5-옥소헥실)프탈레이트 (MEOHP),2017,elementary,초등학생,p95,65.3,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MEOHP,모노(2-에틸-5-옥소헥실)프탈레이트 (MEOHP),2017,middle_high_school,중고등학생,geometric_mean,9.24,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MEOHP,모노(2-에틸-5-옥소헥실)프탈레이트 (MEOHP),2017,middle_high_school,중고등학생,p95,38.5,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MEOHP,모노(2-에틸-5-옥소헥실)프탈레이트 (MEOHP),2017,preschool,영유아,geometric_mean,25.5,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MEOHP,모노(2-에틸-5-옥소헥실)프탈레이트 (MEOHP),2017,preschool,영유아,p95,83.6,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MnBP,모노부틸프탈레이트 (MnBP),2011,adult,성인,geometric_mean,44.7,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MnBP,모노부틸프탈레이트 (MnBP),2011,adult,성인,p95,208.0,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MnBP,모노부틸프탈레이트 (MnBP),2014,adult,성인,geometric_mean,23.6,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MnBP,모노부틸프탈레이트 (MnBP),2014,adult,성인,p95,105.7,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MnBP,모노부틸프탈레이트 (MnBP),2017,adult,성인,geometric_mean,22.3,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MnBP,모노부틸프탈레이트 (MnBP),2017,adult,성인,p95,125.0,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MnBP,모노부틸프탈레이트 (MnBP),2017,elementary,초등학생,geometric_mean,43.2,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MnBP,모노부틸프탈레이트 (MnBP),2017,elementary,초등학생,p95,126.0,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MnBP,모노부틸프탈레이트 (MnBP),2017,middle_high_school,중고등학생,geometric_mean,36.9,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MnBP,모노부틸프탈레이트 (MnBP),2017,middle_high_school,중고등학생,p95,168.0,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MnBP,모노부틸프탈레이트 (MnBP),2017,preschool,영유아,geometric_mean,47.2,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MnBP,모노부틸프탈레이트 (MnBP),2017,preschool,영유아,p95,157.0,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
